No,model,dataset,acc_val,acc,'airliner','bicycle','Border collie','cup','dining table','elephant','folding chair','golden retriever','military plane','minibus','Persian cat','school_bus','speedboat','tabby cat','yawl'
0,resnet50_finetuning_10_0,,0.9587628841400146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,resnet50_finetuning_10_0,ds_aug1,0.0,0.556,0.406,0.67,0.605,0.67,0.605,0.789,0.85,0.571,0.157,0.766,0.498,0.372,0.291,0.632,0.442
2,resnet50_finetuning_10_0,test,0.0,0.958,0.923,0.973,0.973,0.989,0.927,0.992,0.927,0.981,0.881,0.977,0.966,0.935,0.969,0.966,0.992
3,resnet50_finetuning_10_0,ds_aug2,0.0,0.382,0.222,0.452,0.464,0.498,0.333,0.636,0.838,0.387,0.061,0.586,0.33,0.188,0.142,0.406,0.178
4,resnet50_finetuning_10_0,ds_aug3,0.0,0.078,0.0,0.023,0.004,0.004,0.008,0.054,0.869,0.004,0.0,0.031,0.169,0.0,0.0,0.008,0.0
5,resnet50_finetuning_9_1,,0.9123711585998536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,resnet50_finetuning_9_1,ds_aug1,0.0,0.826,0.774,0.893,0.812,0.862,0.812,0.877,0.742,0.835,0.739,0.9,0.716,0.843,0.908,0.77,0.909
7,resnet50_finetuning_9_1,test,0.0,0.955,0.966,0.958,0.958,0.989,0.931,0.996,0.923,0.985,0.824,0.958,0.946,0.966,0.985,0.985,0.959
8,resnet50_finetuning_9_1,ds_aug2,0.0,0.744,0.67,0.774,0.728,0.816,0.728,0.789,0.6,0.732,0.674,0.843,0.579,0.812,0.843,0.659,0.921
9,resnet50_finetuning_9_1,ds_aug3,0.0,0.336,0.31,0.199,0.284,0.295,0.264,0.387,0.312,0.295,0.51,0.322,0.215,0.387,0.387,0.441,0.434
10,resnet50_finetuning_8_2,,0.8917526006698608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,resnet50_finetuning_8_2,ds_aug1,0.0,0.818,0.839,0.916,0.728,0.839,0.736,0.885,0.75,0.862,0.709,0.847,0.77,0.9,0.885,0.693,0.921
12,resnet50_finetuning_8_2,test,0.0,0.961,0.943,0.962,0.943,0.962,0.962,0.996,0.938,0.985,0.927,0.927,0.969,0.989,0.954,0.977,0.983
13,resnet50_finetuning_8_2,ds_aug2,0.0,0.739,0.762,0.858,0.636,0.743,0.655,0.805,0.665,0.778,0.609,0.789,0.678,0.858,0.843,0.548,0.868
14,resnet50_finetuning_8_2,ds_aug3,0.0,0.332,0.249,0.276,0.211,0.31,0.31,0.326,0.288,0.284,0.498,0.261,0.36,0.333,0.575,0.349,0.355
15,resnet50_finetuning_7_3,,0.8646907210350037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,resnet50_finetuning_7_3,ds_aug1,0.0,0.84,0.697,0.92,0.885,0.885,0.897,0.866,0.812,0.789,0.736,0.916,0.812,0.816,0.881,0.743,0.946
17,resnet50_finetuning_7_3,test,0.0,0.962,0.912,0.977,0.969,0.992,0.958,0.996,0.931,0.973,0.904,0.985,0.973,0.958,0.954,0.954,0.992
18,resnet50_finetuning_7_3,ds_aug2,0.0,0.767,0.609,0.874,0.828,0.82,0.831,0.801,0.738,0.686,0.651,0.831,0.713,0.728,0.839,0.64,0.921
19,resnet50_finetuning_7_3,ds_aug3,0.0,0.353,0.207,0.36,0.414,0.356,0.383,0.322,0.492,0.241,0.284,0.299,0.567,0.157,0.533,0.268,0.413
20,resnet50_finetuning_6_4,,0.843427836894989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,resnet50_finetuning_6_4,ds_aug1,0.0,0.851,0.835,0.935,0.854,0.87,0.927,0.912,0.704,0.839,0.709,0.87,0.774,0.9,0.927,0.747,0.971
22,resnet50_finetuning_6_4,test,0.0,0.957,0.927,0.981,0.977,0.989,0.969,0.989,0.896,0.954,0.885,0.954,0.966,0.966,0.954,0.958,0.996
23,resnet50_finetuning_6_4,ds_aug2,0.0,0.787,0.751,0.9,0.801,0.82,0.831,0.858,0.585,0.766,0.636,0.808,0.728,0.885,0.874,0.621,0.95
24,resnet50_finetuning_6_4,ds_aug3,0.0,0.388,0.249,0.421,0.326,0.303,0.498,0.429,0.227,0.352,0.594,0.303,0.318,0.391,0.613,0.18,0.636
25,resnet50_finetuning_5_5,,0.8350515365600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,resnet50_finetuning_5_5,ds_aug1,0.0,0.853,0.824,0.92,0.854,0.908,0.801,0.874,0.862,0.862,0.743,0.897,0.743,0.885,0.862,0.847,0.926
27,resnet50_finetuning_5_5,test,0.0,0.96,0.95,0.977,0.958,0.989,0.916,0.996,0.95,0.985,0.889,0.962,0.946,0.969,0.95,0.989,0.971
28,resnet50_finetuning_5_5,ds_aug2,0.0,0.79,0.774,0.877,0.793,0.847,0.743,0.816,0.746,0.785,0.613,0.835,0.705,0.87,0.831,0.747,0.868
29,resnet50_finetuning_5_5,ds_aug3,0.0,0.368,0.284,0.341,0.356,0.349,0.318,0.391,0.369,0.303,0.238,0.31,0.567,0.356,0.402,0.582,0.347
30,resnet50_finetuning_4_6,,0.8047680258750916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,resnet50_finetuning_4_6,ds_aug1,0.0,0.839,0.782,0.866,0.824,0.843,0.847,0.931,0.846,0.858,0.739,0.847,0.628,0.889,0.893,0.847,0.946
32,resnet50_finetuning_4_6,test,0.0,0.948,0.9,0.935,0.943,0.989,0.969,0.977,0.938,0.969,0.897,0.943,0.854,0.981,0.966,0.992,0.971
33,resnet50_finetuning_4_6,ds_aug2,0.0,0.777,0.705,0.831,0.782,0.805,0.797,0.839,0.762,0.82,0.663,0.778,0.529,0.835,0.839,0.751,0.926
